OTUID,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,ASV
e375de614d6ddee10872c1456ab486ef,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__OM60(NOR5)_clade,,e375de614d6ddee10872c1456ab486ef
d7b248e6b8afdafb06b2154cb0e45353,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__OM60(NOR5)_clade,,d7b248e6b8afdafb06b2154cb0e45353
a01d86c91ad50e941f2962b16b6c844d,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__Luminiphilus,,a01d86c91ad50e941f2962b16b6c844d
75b43e98315bd26f6aac2897297a5449,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__Luminiphilus,,75b43e98315bd26f6aac2897297a5449
2ac50134f6e38bd9d5f9a483a5d2784d,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__Luminiphilus,,2ac50134f6e38bd9d5f9a483a5d2784d
37617febc14b2fa1ace411f12b7bf9da,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__OM60(NOR5)_clade,D_6__uncultured_Haliea,37617febc14b2fa1ace411f12b7bf9da
f0db75744e078342c65aa9db4e342e3e,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__OM60(NOR5)_clade,D_6__uncultured_Haliea,f0db75744e078342c65aa9db4e342e3e
5c10e782cb0a28e21abf15478c2cd551,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__OM60(NOR5)_clade,,5c10e782cb0a28e21abf15478c2cd551
6d5656957ca205644aa9dd2011f60584,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__OM60(NOR5)_clade,D_6__uncultured_Haliea,6d5656957ca205644aa9dd2011f60584
c00ba4459e1d909d71f6e694df376599,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__OM60(NOR5)_clade,D_6__uncultured_Haliea,c00ba4459e1d909d71f6e694df376599
cc607d2ab79fd01d4c86ae91aabdb532,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Halieaceae,D_5__OM60(NOR5)_clade,D_6__uncultured_Haliea,cc607d2ab79fd01d4c86ae91aabdb532
46aaf3735d747a329482df089438b2b8,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Xanthomonadales,D_4__Xanthomonadaceae,D_5__Stenotrophomonas,,46aaf3735d747a329482df089438b2b8
204823270bca0087acf08dfb4712a26e,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Gammaproteobacteria_Incertae_Sedis,D_4__Unknown_Family,D_5__uncultured,,204823270bca0087acf08dfb4712a26e
