,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,ASV,Curated
701eedbe2e91aca0f617233a6f4e4293,D_0__Bacteria,D_0__Bacteria,,,,,,,701eedbe2e91aca0f617233a6f4e4293,
c99094c67349b20762ad81296883e8a1,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,,,,,,c99094c67349b20762ad81296883e8a1,
bfbd719bccebb54bbccedc3a83773cd4,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Burkholderiales,D_4__Nitrosomonadaceae,,,bfbd719bccebb54bbccedc3a83773cd4,
da664ff6331a869a28352bea445e9cd2,D_0__Bacteria,D_0__Bacteria,D_1__Campilobacterota,D_2__Campylobacteria,D_3__Campylobacterales,D_4__Arcobacteraceae,,,da664ff6331a869a28352bea445e9cd2,
239bcc6c41ad42c54ec15c4e0e2cc68f,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Stappiaceae,,,239bcc6c41ad42c54ec15c4e0e2cc68f,
b681acfa059b6909fed9e73495350a81,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,,,,,,b681acfa059b6909fed9e73495350a81,
28a11acbad4e9b05d30b837cf2ad223d,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,,,,,28a11acbad4e9b05d30b837cf2ad223d,
89ca8092b00437034648591dc0bf274e,D_0__Bacteria,D_0__Bacteria,,,,,,,89ca8092b00437034648591dc0bf274e,
27f66d0bc04282da0f0d468b025301d5,D_0__Bacteria,D_0__Bacteria,,,,,,,27f66d0bc04282da0f0d468b025301d5,
33cb5c4d373debeab23922076a7de402,D_0__Bacteria,D_0__Bacteria,,,,,,,33cb5c4d373debeab23922076a7de402,
e2171bc258d3b6758bad7d0425172a90,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,,,,,e2171bc258d3b6758bad7d0425172a90,
7c57a9df37c9f12d51f8cc7522f8edb1,D_0__Bacteria,D_0__Bacteria,,,,,,,7c57a9df37c9f12d51f8cc7522f8edb1,
5fae3b2b476fb18284c587ee44641ff7,D_0__Bacteria,D_0__Bacteria,,,,,,,5fae3b2b476fb18284c587ee44641ff7,
fd97611baa6aba7273dba33fa8934e3f,D_0__Bacteria,D_0__Bacteria,,,,,,,fd97611baa6aba7273dba33fa8934e3f,
3925d05df269f6834a1914ffa995b67f,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Stappiaceae,,,3925d05df269f6834a1914ffa995b67f,
cb3ca17cf310c872c369657fcf1c4ac2,D_0__Bacteria,D_0__Bacteria,,,,,,,cb3ca17cf310c872c369657fcf1c4ac2,
233a643a2eb0a6ab995078bdbe25615f,D_0__Bacteria,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,,,,233a643a2eb0a6ab995078bdbe25615f,
30974fd49e5c10a511f3b1abe11a601d,D_0__Bacteria,D_0__Bacteria,,,,,,,30974fd49e5c10a511f3b1abe11a601d,
faabc19dc3299830dc07992e45cc74fc,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,,,,,faabc19dc3299830dc07992e45cc74fc,
341291dfd9b775f6c5a7bf2b83b3c7a8,D_0__Bacteria,D_0__Bacteria,,,,,,,341291dfd9b775f6c5a7bf2b83b3c7a8,
481b4ac1e20e261b13994cbe0972ba8f,D_0__Bacteria,D_0__Bacteria,D_1__Bacteroidota,D_2__Bacteroidia,D_3__Chitinophagales,,,,481b4ac1e20e261b13994cbe0972ba8f,
403f3ed9dfad3cba9e7e71887a5b2e85,D_0__Bacteria,D_0__Bacteria,D_1__Bacteroidota,D_2__Bacteroidia,D_3__Bacteroidales,,,,403f3ed9dfad3cba9e7e71887a5b2e85,
6b8bfca2f5af0192ae529a15f06e01bb,D_0__Bacteria,D_0__Bacteria,,,,,,,6b8bfca2f5af0192ae529a15f06e01bb,
