"","HOT_224_25M","HOT_225_25M","HOT_226_25M","HOT_227_25M","HOT_229_25M","HOT_231_25M","HOT_232_25M","HOT_233_25M","HOT_234_25M","HOT_236_25M","HOT_237_25M","HOT_238_25M","KFe386HP","KFe387AR","KFe389R8","KFe393NT","KFe395NB","KFe416ST","KMa156HP","KMa157AR","KMa158CB","KMa159R8","KMa160SB","KMa161R2","KMa162ST","KMa163NT","KMa164NR","KMa165NB","KOc290HP","KOc291AR","KOc293R8","KOc297NT","KOc299NB","KOc321ST","KSe054HP","KSe055AR","KSe056CB","KSe057R8","KSe058SB","KSe059R2","KSe060ST","KSe061NT","KSe062NR","KSe063NB"
"MIT9313__LL_IV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIT9314__HL_II",17.0970579256943,16.7379488275658,16.773334188187,16.2144770127291,16.2476899347687,16.1566653937585,16.9634714562265,16.7121051014852,17.4173898314362,16.5513979650565,15.9046391682067,15.8917963837039,0,0,0.753633525000256,14.6386539907299,2.01651868829432,15.3826637903653,0.184573423943322,0.311872170141839,0.242128242399843,0.272610145148401,0,6.5406826716601,14.4969501575768,15.7052492662814,5.06706168806314,0.478382957542025,0,0,0,4.87922758985569,0,5.73228573566601,0,0,0,0,0,8.00984837225932,14.7318794262046,14.9584362757455,0,0
"MIT9321__HL_II",5.94110164673082,6.07704866993094,6.14491520751206,6.09459479940836,5.71674513821713,6.03153600976644,5.90474067756305,5.97921179803397,5.85068382237645,6.04761833930314,5.9872437522032,5.93443117946295,0,0,0,5.49613743395249,0.48304626610186,5.69261446538759,0,0.0726802676083323,0,0,0,2.23348111689368,5.27861754504649,5.67166987582186,1.75198616884135,0.1369207448711,0,0,0,1.52050050560154,0,1.80195791189349,0,0,0,0,0,2.52830265878405,4.79450310766095,4.68919153612994,0,0
"MIT9515__HL_I",0.135384519531926,0.151974397726904,0.10962306368924,0.221659682285519,0.16761750258818,0.258670917024908,0.114357495111876,0.120718086644264,0.0461924862846447,0.0843931988341095,0.109385864077023,0.0588334066263187,0,0,0,0.101664776775333,0,0.115601939661545,0,0,0,0,0,0,0,0.10093192912279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MITS9508__CRD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MITS9509__CRD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N19__II",0,0,0,0,0.0927943252493993,0.00961147115519746,0.0142710581273806,0,0,0.0220692406604751,0.0254216963772828,0.17330902399781,13.295174914106,13.1212311416549,12.5584700547619,0.470770067217752,11.771413971108,0.275264374415281,13.3683870694417,13.342790445313,13.5604493312256,13.3532725148798,13.4629801725628,7.86071138708483,0.804304518015655,0.14402251108451,9.22553114713123,13.232436726278,13.5737567284444,13.7061846555423,13.4776248578239,10.0157971285893,13.9512638955283,9.15741220728554,14.025346881743,14.1590191488993,13.7889910192802,13.6725320505031,13.5578099596614,7.01592704914431,2.12236513053689,1.97761549750064,13.9845575251859,14.1223138464131
"N26__II",0,0,0,0,0.104357413396471,0.0104804894385577,0.0157665474733946,0,0,0.0223675788988368,0.0277879205437084,0.184892314072211,14.428959826458,13.8992669288888,13.5823184198234,0.490280255192656,12.6759675628896,0.277135405386998,13.8977457828621,13.7225774855852,13.7448038350268,13.7737709997519,13.9600371870672,8.11503938344616,0.851443476069365,0.160305880171532,9.4290405208961,13.6153126646722,13.7455682228409,13.8907801422159,13.8522728307853,10.0462778448019,14.1784977244309,9.39326764015586,14.82313885553,14.6328240837335,14.3975108467859,14.3790134580679,14.4533141567576,6.63406441274585,2.02705737335816,1.89693016970137,14.5062775872586,14.338157329208
"N32__II",0,0,0,0,0.173168983855926,0.0254445731734539,0.031048164579125,0.00826143670516673,0,0.0534717712285467,0.0576166200956059,0.329535752702983,14.8803443170556,14.7366186182719,13.5016283382339,1.11635136217114,12.7524642435209,0.653494520122618,14.9550725880715,15.0866423634738,15.227926123717,15.1146321654612,15.0451532434238,9.24248028149901,1.3783909176191,0.36995022551111,10.6924192396199,14.7481635790326,15.1479877051085,14.8483437231805,15.3529016135672,11.6461254863571,15.3485634290988,10.6822731451411,14.9842525797741,15.1827770164369,14.8528766536469,14.7569184193471,14.6321141978686,9.38937603814188,2.824647856259,2.73770255501511,15.6213856117741,15.5172175904122
"N5__II",0,0,0,0,0.11226259333246,0.0128410266368502,0.0182025537733478,0,0,0.0296170596887468,0.0322966549910186,0.208350792715483,15.8274699831235,15.6288717722025,14.5448992730545,0.587260760026892,13.5532868882702,0.349932170764605,15.5434357516897,15.8250338099595,16.0571350778008,15.6775968118627,15.7564227868921,9.4325016590322,1.01031082580002,0.196504215718287,11.0782844888129,15.7000283240288,15.9810050562479,16.3171184139271,16.0363264112004,12.132285468687,16.7699461840214,11.0136315899207,16.3098276949532,16.7049215446385,16.0772704206986,16.0246953328859,15.6528052402004,9.07987733114638,2.70796209113761,2.57077202502352,17.0048270880009,16.9671201619755
"NATL1A__LL_I",0,0,0,0,0.115499883185275,0,0,0,0,0.0133573310887585,0.24037670553353,0.192400062798574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NATL2A__LL_I",0,0,0,0,0.110216890643463,0,0,0,0,0.0116250253842138,0.232834361721629,0.184472525230284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAC1__LL_I",0,0,0,0,0.100324009846062,0,0,0,0,0.0107101578453432,0.229802733798452,0.168613497729997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCC6307__SC_5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCC7001__SC_5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
